MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,log_price,Age,HasBasement,HasGarage,HasFireplace
20,RL,70.0,9.32375833901174,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.810142450115136,Unf,0.0,4.90527477843843,6.947937068614969,GasA,Ex,Y,SBrkr,6.947937068614969,0.0,0.0,6.947937068614969,1,0,1,0,3,1,TA,5,Typ,0,Not Applicable,Detchd,1965,Unf,1,5.953243334287785,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2008,WD,Normal,11.771443882099637,43,Yes,Yes,No
60,RL,85.0,9.386392315756542,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,5.659482215759621,Ex,TA,PConc,Ex,TA,No,GLQ,6.906754778648554,Unf,0.0,5.181783550292085,7.069874128458572,GasA,Ex,Y,SBrkr,7.075808863978387,7.04141166379481,0.0,7.751475318021456,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,Fin,3,6.602587892189336,TA,TA,Y,4.997212273764115,3.091042453358316,0.0,0.0,0.0,0.0,0.0,7,2006,New,Partial,12.75130259456002,1,Yes,Yes,Yes
20,RL,73.98864108059871,9.470317173335742,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.6039438246004725,Unf,0.0,5.170483995038151,6.816735880594968,GasA,TA,Y,SBrkr,6.816735880594968,0.0,0.0,6.816735880594968,1,0,1,0,2,1,TA,4,Typ,0,Not Applicable,Detchd,1962,Unf,1,5.8664680569332965,TA,TA,Y,4.948759890378168,0.0,0.0,0.0,5.176149732573829,0.0,0.0,9,2008,WD,Normal,11.87757552297847,46,Yes,Yes,No
20,RL,91.0,9.273596821611198,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,5.726847747587197,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,7.3098814858247865,7.3098814858247865,GasA,Ex,Y,SBrkr,7.3098814858247865,0.0,0.0,7.3098814858247865,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,6.734591659972948,TA,TA,Y,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,8,2007,New,Partial,12.540761149388421,1,Yes,Yes,Yes
20,RL,71.31436517636352,9.298442820197728,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.3612921657094255,TA,TA,CBlock,TA,TA,No,BLQ,6.598509028614515,Unf,0.0,6.255750041753367,7.134093721192866,GasA,TA,Y,SBrkr,7.134093721192866,0.0,0.0,7.134093721192866,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,5.8664680569332965,TA,TA,Y,0.0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,0.0,5,2008,WD,Normal,11.964007453736912,48,Yes,Yes,Yes
45,RM,51.0,8.71948076085107,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.725033642166843,6.725033642166843,GasA,Ex,Y,FuseA,6.75110146893676,0.0,0.0,6.75110146893676,0,0,1,0,2,1,TA,5,Typ,0,Not Applicable,Detchd,1991,Unf,2,6.3578422665081,TA,TA,Y,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,0.0,0.0,7,2007,WD,Normal,11.790564777297387,78,Yes,Yes,No
20,RL,71.73352658518164,9.32741204356202,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,TA,TA,CBlock,TA,TA,No,ALQ,6.361302477572996,Unf,0.0,6.056784013228625,6.912742820493176,GasA,Ex,Y,SBrkr,6.912742820493176,0.0,0.0,6.912742820493176,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,6.175867270105761,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,700.0,3,2010,WD,Normal,11.91170829631447,40,Yes,Yes,Yes
90,RL,72.0,9.286560397887591,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,Not Applicable,0.0,0.0,0.0,GasA,TA,Y,SBrkr,7.167809184316444,0.0,0.0,7.167809184316444,0,0,2,0,2,2,TA,6,Typ,0,Not Applicable,CarPort,1967,Unf,2,6.248042874508429,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,500.0,10,2006,WD,Normal,11.407576060361786,39,No,Yes,No
20,RL,66.0,9.524859098381523,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,6.472346294500901,Unf,0.0,6.150602768446279,7.016609683894219,GasA,Ex,Y,SBrkr,7.016609683894219,0.0,0.0,7.016609683894219,1,0,1,1,3,1,Gd,6,Typ,0,Not Applicable,Detchd,2004,Unf,2,6.3578422665081,TA,TA,Y,0.0,4.634728988229636,0.0,0.0,0.0,0.0,0.0,6,2008,WD,Normal,11.976665770490767,4,Yes,Yes,No
20,RL,70.0,8.93075873555827,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,6.22455842927536,Unf,0.0,6.26530121273771,6.937314081223682,GasA,TA,Y,SBrkr,7.200424892944957,0.0,0.0,7.200424892944957,0,0,1,0,3,1,TA,6,Min1,0,Not Applicable,Attchd,1958,Unf,1,5.68697535633982,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2009,COD,Abnorml,11.842236406331555,51,Yes,Yes,No
60,RL,101.0,9.562123369834488,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.942799375126701,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,7.055312843339752,7.055312843339752,GasA,Ex,Y,SBrkr,7.055312843339752,7.105786129481271,0.0,7.773594467360194,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,RFn,3,6.74993119378857,TA,TA,Y,5.484796933490655,5.043425116919247,0.0,0.0,0.0,0.0,0.0,11,2006,New,Partial,12.692506186542177,1,Yes,Yes,Yes
45,RM,57.0,8.915969311373605,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,6.45833828334479,6.45833828334479,GasA,Ex,Y,FuseF,7.011213987350367,0.0,0.0,7.011213987350367,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930,Unf,1,5.638354669333745,TA,TA,N,0.0,0.0,5.327876168789581,0.0,0.0,0.0,0.0,6,2007,WD,Normal,11.845109950883979,77,Yes,Yes,Yes
20,RL,75.0,9.184304357425342,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,5.641907070938114,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.48324441607385,7.48324441607385,GasA,Ex,Y,SBrkr,7.493317248862145,0.0,0.0,7.493317248862145,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002,RFn,2,6.282266746896006,TA,TA,Y,5.147494476813453,5.075173815233827,0.0,0.0,0.0,0.0,0.0,9,2008,WD,Normal,12.345838935721968,6,Yes,Yes,Yes
120,RM,44.0,8.348774539791274,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.734591659972948,Unf,0.0,5.303304908059076,6.947937068614969,GasA,TA,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976,Unf,2,6.35088571671474,TA,TA,Y,4.61512051684126,4.709530201312334,0.0,0.0,0.0,0.0,0.0,6,2007,WD,Normal,11.774527900858468,31,Yes,Yes,Yes
20,RL,67.82265923499394,9.017604776833355,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,5.241747015059643,ALQ,6.505784060128229,5.3230099791384085,6.966967138613983,GasA,Ex,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968,Unf,1,5.602118820879701,TA,TA,Y,6.008813185442595,4.51085950651685,0.0,0.0,0.0,0.0,0.0,5,2010,WD,Normal,11.944714374881176,42,Yes,Yes,Yes
20,RL,110.0,9.56317796268366,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,6.46302945692067,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.356918242356021,7.356918242356021,GasA,Ex,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,6.792344427470809,TA,TA,Y,0.0,4.04305126783455,0.0,0.0,0.0,0.0,0.0,7,2009,WD,Normal,12.454107814022272,2,Yes,Yes,Yes
20,RL,60.0,8.881975184248867,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,5.459585514144159,Rec,6.18826412308259,5.198497031265826,6.803505257608338,GasA,TA,Y,SBrkr,6.803505257608338,0.0,0.0,6.803505257608338,0,1,1,0,3,1,Gd,5,Typ,0,Not Applicable,Detchd,2005,Unf,2,6.3578422665081,TA,TA,Y,5.407171771460119,3.4965075614664802,0.0,0.0,0.0,0.0,0.0,5,2010,WD,Normal,11.811554895830454,59,Yes,Yes,No
20,RL,98.0,9.348274558065496,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,Gd,TA,PConc,Ex,TA,No,GLQ,7.105786129481271,Unf,0.0,6.18826412308259,7.4413203897176174,GasA,Ex,Y,SBrkr,7.4413203897176174,0.0,0.0,7.4413203897176174,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008,RFn,3,6.650279048587422,TA,TA,Y,0.0,3.9318256327243257,0.0,0.0,0.0,0.0,0.0,5,2010,WD,Normal,12.631343648903034,3,Yes,Yes,Yes
20,RL,47.0,9.700269170029188,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,7.15305163493748,Unf,0.0,5.337538079701318,7.3031700512368,GasA,TA,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957,RFn,1,5.768320995793772,TA,TA,Y,5.666426688112432,5.556828061699537,0.0,0.0,0.0,0.0,0.0,12,2006,WD,Normal,12.242891437918386,49,Yes,Yes,Yes
30,RM,60.0,8.752265313595721,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.255750041753367,6.255750041753367,GasA,Fa,N,SBrkr,6.255750041753367,0.0,0.0,6.255750041753367,0,0,1,0,1,1,Fa,4,Typ,0,Not Applicable,Detchd,1920,Unf,1,5.484796933490655,Fa,TA,Y,3.912023005428146,0.0,4.477336814478207,0.0,0.0,0.0,0.0,5,2008,WD,Normal,11.134603622683905,81,Yes,Yes,No
70,C (all),50.0,9.04793908261736,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.476972362889683,6.476972362889683,GasA,TA,N,SBrkr,6.476972362889683,6.505784060128229,0.0,7.183870715062453,0,0,1,0,3,1,TA,6,Typ,0,Not Applicable,Detchd,1920,Unf,1,5.5254529391317835,TA,Fa,N,0.0,4.007333185232471,5.153291594497779,0.0,0.0,0.0,0.0,7,2008,WD,Normal,10.596659732783579,88,Yes,Yes,No
20,RL,68.21178727184066,9.053101595549691,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,7.113956109566034,7.113956109566034,GasA,Gd,Y,SBrkr,7.113956109566034,0.0,0.0,7.113956109566034,0,0,1,1,3,1,Gd,6,Typ,0,Not Applicable,Attchd,1966,Unf,1,5.605802066295998,TA,TA,Y,0.0,4.189654742026425,0.0,0.0,0.0,0.0,0.0,6,2008,WD,Normal,11.914054519303125,42,Yes,Yes,No
20,RL,85.0,9.3101857069459,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,7.118826249062078,7.118826249062078,GasA,Ex,Y,SBrkr,7.118826249062078,0.0,0.0,7.118826249062078,0,0,2,0,3,1,Gd,7,Typ,0,Not Applicable,Attchd,2007,RFn,2,6.184148890937483,TA,TA,Y,0.0,3.4339872044851463,0.0,0.0,0.0,0.0,0.0,1,2008,WD,Normal,12.100161978566867,1,Yes,Yes,No
20,RL,70.0,9.26416545867109,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.926577033222725,Unf,0.0,5.942799375126701,7.243512974665482,GasA,Gd,Y,SBrkr,7.438971592395862,0.0,0.0,7.438971592395862,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959,RFn,2,6.104793232414985,TA,TA,Y,0.0,3.6635616461296463,0.0,0.0,0.0,0.0,0.0,4,2010,WD,Normal,12.016732516077072,51,Yes,Yes,Yes
120,RL,60.0,8.897545598709327,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.5093883366279774,Ex,TA,PConc,Ex,TA,No,GLQ,7.050989447068045,Unf,0.0,6.013715156042802,7.3537223303996315,GasA,Ex,Y,SBrkr,7.3537223303996315,0.0,0.0,7.3537223303996315,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,Fin,2,6.322565239927284,TA,TA,Y,5.318119993844216,3.871201010907891,0.0,0.0,0.0,0.0,0.0,8,2007,WD,Normal,12.533579815765737,2,Yes,Yes,Yes
60,RL,108.0,9.504426892100957,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,4.890349128221754,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,7.0192966537150445,7.0192966537150445,GasA,Ex,Y,SBrkr,7.0326242610280065,7.186144304522325,0.0,7.8050670442584895,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,Fin,3,6.539585955617669,TA,TA,Y,4.736198448394496,3.4965075614664802,0.0,0.0,0.0,0.0,0.0,9,2006,WD,Normal,12.6410997921206,2,Yes,Yes,Yes
20,RL,112.0,9.292841593487926,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.001245622069476,7.001245622069476,GasA,Ex,Y,SBrkr,7.001245622069476,0.0,0.0,7.001245622069476,0,0,1,1,3,1,TA,6,Typ,0,Not Applicable,Attchd,1995,Unf,2,6.511745329644728,TA,TA,Y,5.973809611869261,4.174387269895637,0.0,0.0,0.0,0.0,0.0,6,2009,WD,Normal,11.884495917930655,15,Yes,Yes,No
20,RL,74.0,9.051696278536586,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,6.478509642208569,TA,TA,CBlock,TA,TA,No,Rec,7.101675971619444,Unf,0.0,4.442651256490317,7.168579897264035,GasA,Gd,Y,SBrkr,7.168579897264035,0.0,0.0,7.168579897264035,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954,Fin,2,6.212606095751519,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2009,WD,Normal,11.938199736300925,55,Yes,Yes,Yes
